feature,importance
num__speed_limit_kmph,0.16524699546841914
num__visibility_km,0.09130105085756186
num__number_of_casualties,0.06696316034555257
num__temperature_c,0.04153029745401315
cat__alcohol_involvement_Yes,0.03909752324958422
cat__road_type_Highway,0.038819770289050655
num__hour_of_day,0.038053789621759454
cat__alcohol_involvement_No,0.02935998639233749
cat__road_condition_Under Construction,0.027273557553476192
num__driver_age,0.025636388146409287
cat__visibility_risk_Critical,0.02166256783094877
cat__state_Delhi,0.020699514773993906
cat__weather_conditions_Fog,0.01910832387468845
num__number_of_vehicles_involved,0.01735730337682727
cat__lighting_conditions_Poor Lighting,0.017188500917834512
cat__junction_type_T-Junction,0.014856687305718043
cat__vehicle_type_Truck,0.013157637645810263
cat__weather_category_Normal,0.012861820591756022
cat__visibility_risk_Moderate,0.011744394711756737
cat__road_condition_Dry,0.010732324452496717
